user_id,loan_amount_k,loanday,multiperiod,overall_rate,gender,age,avgbill,zmscore,action1mon,family,firm,friend,career,repay,best_u,city_u
2808,1.5,120,1.0,0.18277915,1,31,107.25,660,43,1,0,1,Entrepreneur,1.0,Physiology and Pharmacology,Luzhou
3003,1.0,21,0.0,0.1729,1,29,94.49,685,45,1,0,1,Company staff,1.0,English,Quanzhou
3705,1.0,21,0.0,0.1729,1,23,214.02,632,22,1,0,1,White-collar worker,0.0,Unknown,Unknown
3985,1.5,120,1.0,0.18277915,1,33,467.35,551,21,1,1,1,White-collar worker,1.0,Unknown,Unknown
4560,1.0,21,0.0,0.1729,1,26,123.82,471,23,1,0,1,Self-employed,0.0,psychology,Zunyi
5090,1.0,21,0.0,0.1729,0,32,251.67,696,46,1,0,1,Company staff,1.0,astronomy,Urumqi
6437,3.0,150,1.0,0.2223935,0,28,271.62,752,20,1,1,1,White-collar worker,1.0,biology,Qingyang
6750,2.0,90,1.0,0.14378141,1,25,126.4,636,26,1,1,1,Legal representative of a company,1.0,economics,Ningbo
7460,2.0,90,1.0,0.14378141,1,21,233.36,465,19,1,0,1,Company staff,0.0,economics,Yancheng
11456,3.0,150,1.0,0.2223935,1,33,167.19,551,28,1,0,1,Company staff,1.0,Unknown,Nanyang
15980,1.0,21,0.0,0.1729,1,21,105.46,551,22,1,1,1,Company staff,0.0,Unknown,Xuanwei
16515,2.0,60,1.0,0.10204551,1,38,163.5,628,0,1,1,1,Worker,1.0,Financial Law,Wuhan
26559,2.0,90,1.0,0.14378141,1,32,128.24,647,34,1,1,0,Company staff,0.0,Business Administration,Harbin
29639,1.0,120,1.0,0.17691606,1,20,75.05,591,0,1,1,1,Company staff,1.0,finance,Malaysia
35517,1.0,30,0.0,0.068100326,1,24,204.62,602,0,1,0,1,Worker,1.0,math,Chengdu
39939,1.5,90,1.0,0.14378141,1,37,115.07,551,36,1,1,1,Worker,0.0,economy,Taipei
40644,1.0,21,0.0,0.1729,1,21,63.7,633,24,1,0,1,Company staff,1.0,Unknown,Macao
40988,1.5,120,1.0,0.18277915,0,35,333.09,602,45,1,0,1,Legal representative of a company,1.0,Computer Technology,Unknown
44561,3.0,150,1.0,0.2223935,0,30,95.62,651,9,1,1,1,Self-employed,1.0,Unknown,Unknown
49295,1.0,120,1.0,0.17691606,1,24,68.15,575,0,1,1,1,Company staff,1.0,Unknown,Unknown
49427,1.5,120,1.0,0.18277915,1,28,120.46,603,6,1,1,1,Company staff,1.0,AI,Bengbu
49800,1.0,30,0.0,0.06730055,0,27,266.4,617,0,1,0,0,Company staff,1.0,Clinical Medicine,Taixing
56085,1.5,120,1.0,0.18277915,1,21,67.64,551,21,1,1,0,Student,0.0,psychology,Shangqiu
75856,1.0,21,0.0,0.1729,1,34,48.51,551,22,1,0,1,Worker,0.0,finance,Malaysia
79171,1.0,21,0.0,0.1729,1,24,172.61,621,62,1,0,1,Company staff,1.0,Law,Urumqi
88669,1.0,21,0.0,0.1729,0,45,42.88,627,19,1,1,1,Worker,1.0,Unknown,Huaihua
92406,1.5,120,1.0,0.18277915,1,23,732.38,626,22,1,1,1,Company staff,0.0,Cognitive Neuroscience,Huzhou
93401,1.0,21,0.0,0.2453,1,23,98.22,640,67,1,1,1,Worker,1.0,psychology,Fushun
101084,1.5,120,1.0,0.18277915,1,29,221.19,623,37,1,0,1,Worker,0.0,Law,sunshine
102168,2.0,90,1.0,0.14378141,1,23,252.57,611,19,1,1,1,Company staff,1.0,Humanities,Beijing
102193,2.0,90,1.0,0.14378141,1,29,106.27,644,16,1,1,1,Worker,0.0,Software Engineering,Hefei
102288,1.0,21,0.0,0.1729,1,27,203.77,551,31,1,1,1,White-collar worker,1.0,finance,Chengdu
102455,1.0,90,1.0,0.13918892,1,21,262.34,609,0,1,0,1,Worker,1.0,Art,Huzhou
102629,1.0,21,0.0,0.1729,1,23,121.46,605,7,1,0,1,Other,1.0,economics,Taixing
102960,2.0,60,1.0,0.10204551,1,34,180.35,694,0,1,0,1,Company staff,1.0,medicine,Huai'an
103055,1.5,90,1.0,0.14378141,1,39,91.55,609,15,1,1,1,Worker,1.0,biology,Qingyang
103063,2.0,120,1.0,0.18277915,0,33,164.86,640,13,1,1,1,Company staff,0.0,Public Health,Unknown
103220,2.0,120,1.0,0.18277915,1,29,171.92,651,42,1,0,1,Company staff,1.0,Chemical,Lingbao
103842,3.0,150,1.0,0.2223935,1,42,130.31,648,42,1,1,1,White-collar worker,1.0,psychology,Shangluo City
104389,1.0,21,0.0,0.1729,1,28,163.85,555,27,1,0,1,Worker,1.0,Financial Law,Wuhan
104993,1.5,120,1.0,0.18277915,1,26,173.4,551,55,1,0,1,Worker,1.0,Interdisciplinary,Shangluo
105361,3.0,150,1.0,0.2223935,0,25,263.46,662,46,1,0,1,Worker,1.0,Unknown,Unknown
105675,1.0,21,0.0,0.2453,1,28,225.48,551,42,1,1,1,Company staff,1.0,Art,Huzhou
106457,1.0,21,0.0,0.1729,1,26,355.77,637,36,1,1,1,Company staff,1.0,English,Quanzhou
108355,1.0,21,0.0,0.2453,1,37,207.83,605,15,1,1,0,Unknown,1.0,Social Sciences,Qingyang
109148,2.5,90,1.0,0.14378141,0,31,110.33,683,20,1,1,1,Company staff,1.0,educate,Weihai
109571,1.5,120,1.0,0.18277915,1,25,255.54,580,3,1,1,0,Company staff,1.0,literature,Taishan
110726,2.0,30,0.0,0.068100326,1,30,88.06,630,0,1,0,1,Worker,1.0,history,Tai'an City
110927,1.0,21,0.0,0.1729,1,26,87.29,638,22,1,0,1,Other,1.0,psychology,-
111540,1.5,120,1.0,0.18277915,1,31,226.89,626,33,1,1,1,Self-employed,1.0,Art,Tower City
111914,1.0,14,0.0,0.1122,1,30,128.04,647,24,0,1,1,Company staff,0.0,Unknown,Unknown
112229,1.0,21,0.0,0.1729,1,24,183.81,660,47,1,0,1,Teacher,1.0,medicine,Turpan City
112652,1.5,120,1.0,0.18277915,1,22,216.85,551,26,1,1,1,Company staff,1.0,Basic Mathematics,Sanming
115557,1.5,120,1.0,0.18277915,1,30,99999.0,610,39,1,0,1,Company staff,1.0,Life Science,Yinchuan
115693,3.0,150,1.0,0.2223935,1,37,184.41,663,16,1,0,1,Worker,1.0,Unknown,Unknown
115758,2.0,120,1.0,0.18277915,1,33,99.08,647,9,1,1,1,Worker,1.0,medicine,Turpan City
115866,1.5,90,1.0,0.14378141,1,31,99999.0,610,12,1,0,1,Company staff,1.0,Unknown,Nanyang
116464,2.0,60,1.0,0.10204551,0,33,108.31,607,0,1,0,1,Company staff,0.0,Unknown,Fushun
116512,1.5,120,1.0,0.18277915,1,31,101.88,624,15,1,0,1,Company staff,1.0,computer,Jiujiang
116591,1.0,21,0.0,0.1729,1,24,87.01,588,25,1,0,1,Company staff,1.0,finance,Sanming
117914,1.0,21,0.0,0.1729,1,29,565.65,551,20,1,0,1,Company staff,1.0,art,Shenzhen
118746,1.0,60,1.0,0.10204551,1,40,67.85,616,0,1,0,1,Worker,1.0,"Computer, medicine",Xi'an
120749,2.0,30,0.0,0.068100326,1,24,59.96,612,0,1,1,1,Worker,1.0,Unknown,Unknown
121030,1.5,90,1.0,0.14378141,1,23,127.58,551,22,1,1,1,Other,1.0,politics,Shangqiu City
121119,1.0,30,0.0,0.06849934,1,29,110.53,554,0,1,1,0,Worker,0.0,medicine,Huai'an
121592,2.0,120,1.0,0.18277915,1,23,96.48,649,9,1,0,1,Other,0.0,Business Administration,Yanji
122351,1.0,21,0.0,0.1729,1,27,234.73,551,41,1,1,0,Worker,1.0,Unknown,Leshan
122717,1.0,30,0.0,0.068100326,1,20,140.77,606,0,1,1,1,Entrepreneur,0.0,psychology,Xuchang City
122931,2.0,60,1.0,0.10204551,1,36,21.82,551,0,1,1,1,Self-employed,0.0,physics,Taiyuan
124389,2.0,30,0.0,0.06849934,0,40,167.34,408,0,1,1,1,Self-employed,0.0,Unknown,Unknown
124730,1.0,30,0.0,0.06849934,1,27,99999.0,673,0,1,1,1,Worker,1.0,Humanities,Beijing
125119,1.5,120,1.0,0.18277915,0,24,158.93,457,17,1,1,1,Company staff,0.0,High-tech industry,Suqian
125419,2.0,30,0.0,0.06849934,1,28,99999.0,466,0,0,0,1,Worker,1.0,Public Health,Unknown
125459,1.0,120,1.0,0.17691606,1,26,66.93,609,0,1,1,1,Worker,1.0,Resource and Environmental Economics,Xi'an
125703,2.0,60,1.0,0.10204551,1,41,179.23,580,0,1,0,1,Company staff,1.0,Chemical,Tianjin
126289,1.0,30,0.0,0.06849934,1,22,69.43,9999,0,1,0,1,Self-employed,0.0,Tourism discipline,Taichung
127450,2.0,30,0.0,0.06849934,0,27,27.45,601,0,1,0,1,Self-employed,1.0,"Psychological, economic",Ya'an
128220,1.5,90,1.0,0.14378141,1,21,217.73,615,5,1,1,1,Company staff,1.0,Unknown,Bozhou
129156,2.0,60,1.0,0.10541666,1,23,291.89,564,37,1,1,1,Worker,1.0,have no idea,Changde
130088,1.0,21,0.0,0.1729,0,26,213.89,605,26,1,1,1,Worker,1.0,economics,Ningbo
130342,1.0,120,1.0,0.17691606,1,25,220.38,601,0,1,1,1,Company staff,1.0,"Biology, medicine",Fuzhou
130817,1.0,21,0.0,0.1729,1,23,277.58,627,15,1,0,1,White-collar worker,1.0,Unknown,Unknown
131894,1.0,21,0.0,0.1729,1,27,143.51,551,45,1,1,1,Worker,0.0,psychology,Jinchang
133616,1.0,30,0.0,0.06730055,1,24,17.2,582,0,1,1,1,Worker,1.0,AI,Bengbu
134023,1.0,21,0.0,0.1729,1,30,178.12,410,19,1,0,1,Other,0.0,Unknown,Xuanwei
134758,2.0,30,0.0,0.06730055,1,26,109.19,551,0,1,1,1,Worker,1.0,"Medicine, Biology",Yinchuan
134996,1.0,21,0.0,0.2453,1,29,156.02,707,24,1,0,1,Company staff,1.0,Accounting,Hegang
135061,1.0,21,0.0,0.1729,1,23,112.71,572,31,1,1,1,Company staff,1.0,foreign language,Altay
137435,1.5,120,1.0,0.18277915,0,26,93.03,611,12,1,0,1,Other,1.0,literature,Pingxiang
137493,1.0,30,0.0,0.068100326,1,32,99.44,551,0,1,0,1,Self-employed,1.0,finance,Taiyuan
139249,1.0,14,0.0,0.1122,1,26,110.81,601,17,1,1,1,Company staff,1.0,psychology,Fushun
139492,1.0,21,0.0,0.1729,1,29,195.7,670,66,1,0,1,White-collar worker,1.0,Public Health,Unknown
139516,1.0,14,0.0,0.1575,1,24,103.76,552,14,1,0,1,Company staff,0.0,Art,Shenzhen
139571,1.0,60,1.0,0.10204551,1,31,34.35,581,0,1,1,0,Company staff,1.0,psychology,Quanzhou
142173,1.0,14,0.0,0.1122,1,26,59.21,551,27,1,1,1,Company staff,1.0,English Literature Translation,Harbin
142866,1.5,90,1.0,0.14378141,1,22,120.77,564,43,1,1,1,White-collar worker,1.0,physics,Qianjiang
143213,2.0,60,1.0,0.10541666,1,24,199.29,613,67,1,0,1,Company staff,1.0,finance,Xi'an
143336,1.0,21,0.0,0.1729,0,31,61.2,620,53,1,0,1,Self-employed,0.0,have no idea,Changde
143390,1.5,90,1.0,0.14378141,0,27,183.04,551,17,1,1,1,Worker,0.0,medicine,Huai'an
143519,0.5,14,0.0,0.1122,1,28,148.36,597,12,1,0,1,Worker,1.0,Student Development,Xining
145210,1.5,90,1.0,0.14378141,1,21,180.16,557,46,1,0,1,Company staff,1.0,medicine,Tianjin
145368,1.0,21,0.0,0.1729,0,29,244.89,618,54,1,1,1,White-collar worker,1.0,finance,Guiyang
149967,1.0,21,0.0,0.2453,1,29,99999.0,606,23,1,0,1,Company staff,1.0,finance,Laiwu
151579,2.0,120,1.0,0.18277915,1,24,519.67,594,24,1,1,1,Worker,1.0,Public Health,Dingzhou
152512,1.0,21,0.0,0.1729,1,25,225.26,551,18,1,0,1,White-collar worker,0.0,computer,Wenzhou City
152620,1.0,21,0.0,0.1729,1,25,296.27,672,18,1,0,1,Self-employed,1.0,news,Jilin
153221,1.0,21,0.0,0.2453,1,28,244.65,551,34,1,1,1,Company staff,1.0,psychology,Tongling
153438,1.5,120,1.0,0.18277915,1,28,134.87,551,6,1,1,1,Self-employed,0.0,Law,Urumqi
153493,3.0,150,1.0,0.2223935,1,24,210.65,687,29,1,0,1,Company staff,0.0,Art,Tower City
154128,3.0,150,1.0,0.2223935,0,27,123.5,576,49,1,0,1,Company staff,0.0,finance,Taiyuan
154588,1.0,21,0.0,0.1729,1,28,105.52,571,80,1,1,1,White-collar worker,1.0,Deep Learning,Harbin
154641,1.0,21,0.0,0.1729,1,24,235.75,551,51,1,0,1,White-collar worker,1.0,Literary Film and Television,Nantong
154657,1.0,14,0.0,0.1122,1,24,102.17,620,29,1,1,1,Company staff,1.0,Chemical,Tianjin
155363,2.0,60,1.0,0.10204551,0,50,84.84,9999,0,1,1,1,Worker,1.0,Unknown,Honshi
155685,1.5,120,1.0,0.18277915,1,25,238.13,551,21,1,1,1,Company staff,0.0,psychology,Quanzhou
156371,3.0,150,1.0,0.2223935,1,23,149.05,675,59,1,0,1,Company staff,1.0,computer,Zhoukou
156746,1.5,90,1.0,0.14378141,0,33,78.42,603,59,1,0,1,Self-employed,1.0,Public Health,Unknown
157142,2.0,60,1.0,0.10204551,1,30,61.74,573,0,1,1,0,Worker,1.0,sociology,Xingtai
